sample,I_in,Q_in,I_out,Q_out,phase_err,u,nco_sin,nco_cos
2067,-15869,4074,5497,-6073,-37630304,-21576897,18037,-27356
2068,-15989,3574,5502,-6069,-37047871,-21579544,19032,-26674
2069,-16093,3070,5469,-6098,-41165306,-21582724,19841,-26077
2070,-16182,2563,5474,-6094,-40612312,-21527877,20631,-25456
2071,-16254,2053,5478,-6090,-40042831,-21530315,21403,-24811
2072,-16311,1542,5483,-6086,-39483710,-21533016,22154,-24143
2073,-16351,1029,5487,-6082,-38947395,-21535650,22884,-23452
2074,-16375,515,5491,-6078,-38392376,-21538062,23592,-22739
2075,-16384,0,5496,-6074,-37828340,-21540762,24413,-21856
2076,-16375,-515,5464,-6104,-41893888,-21543633,25072,-21096
2077,-16351,-1029,5468,-6099,-41330480,-21489344,25708,-20317
2078,-16311,-1542,5472,-6096,-40788516,-21491833,26319,-19519
2079,-16254,-2053,5477,-6092,-40232604,-21494117,26905,-18703
2080,-16182,-2563,5481,-6087,-39682084,-21496632,27466,-17869
2081,-16093,-3070,5486,-6084,-39105049,-21499139,28001,-17018
2082,-15989,-3574,5490,-6079,-38541089,-21502033,28510,-16151
2083,-15869,-4074,5495,-6075,-37989637,-21504827,29085,-15090
2084,-15733,-4571,5461,-6105,-42117705,-21507527,29534,-14191
2085,-15582,-5063,5466,-6101,-41524444,-21452448,29956,-13279
2086,-15415,-5550,5471,-6097,-40962209,-21455282,30349,-12353
2087,-15233,-6031,5475,-6093,-40412240,-21457796,30714,-11417
2088,-15036,-6507,5480,-6089,-39859140,-21460219,31050,-10469
2089,-14824,-6976,5484,-6085,-39291783,-21462739,31356,-9512
2090,-14598,-7438,5489,-6081,-38720288,-21465494,31633,-8545
2091,-14357,-7893,5493,-6077,-38194660,-21468361,31880,-7571
2092,-14102,-8340,5498,-6073,-37617570,-21470722,32137,-6393
2093,-13833,-8779,5465,-6102,-41701688,-21473775,32318,-5404
2094,-13550,-9209,5469,-6098,-41139924,-21419279,32469,-4410
2095,-13255,-9630,5474,-6094,-40580739,-21421768,32589,-3412
2096,-12946,-10042,5478,-6090,-40051505,-21424286,32678,-2410
2097,-12624,-10443,5483,-6086,-39495832,-21426493,32737,-1407
2098,-12289,-10835,5487,-6082,-38944128,-21429083,32765,-402
2099,-11943,-11215,5492,-6078,-38344462,-21431684,32757,804
2100,-11585,-11585,5459,-6108,-42466128,-21434936,32705,2009
2101,-11215,-11943,5426,-6137,-46548530,-21379899,32628,3012
2102,-10835,-12289,5430,-6133,-45998712,-21324907,32521,4011
2103,-10443,-12624,5435,-6129,-45464830,-21326731,32382,5007
2104,-10042,-12946,5439,-6125,-44871327,-21328417,32213,5998
2105,-9630,-13255,5444,-6121,-44335472,-21330897,32014,6983
2106,-9209,-13550,5448,-6117,-43755205,-21332728,31785,7962
2107,-8779,-13833,5452,-6113,-43228473,-21335165,31526,8933
2108,-8340,-14102,5457,-6109,-42660592,-21337002,31237,9896
2109,-7893,-14357,5462,-6105,-42098438,-21339404,30919,10849
2110,-7438,-14598,5466,-6101,-41529834,-21341796,30571,11793
2111,-6976,-14824,5471,-6097,-40982188,-21344328,30117,12910
2112,-6507,-15036,5438,-6127,-45079784,-21346661,29706,13828
2113,-6031,-15233,5442,-6123,-44534130,-21291639,29268,14732
2114,-5550,-15415,5447,-6118,-43937112,-21293569,28803,15623
2115,-5063,-15582,5451,-6114,-43394600,-21296192,28310,16499
2116,-4571,-15733,5456,-6110,-42828965,-21298205,27790,17360
2117,-4074,-15869,5460,-6106,-42285460,-21300561,27245,18204
2118,-3574,-15989,5465,-6102,-41687597,-21302704,26674,19032
2119,-3070,-16093,5469,-6098,-41165306,-21305577,26077,19841
2120,-2563,-16182,5474,-6094,-40612312,-21307580,25456,20631
2121,-2053,-16254,5478,-6090,-40042831,-21310018,24811,21403
2122,-1542,-16311,5483,-6086,-39483710,-21312719,24143,22154
2123,-1029,-16351,5487,-6082,-38947395,-21315353,23452,22884
2124,-515,-16375,5491,-6078,-38392376,-21317765,22594,23731
2125,0,-16384,5458,-6108,-42475750,-21320465,21856,24413
